country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Algeria,1990,Arab States,52.9819211,2.387855342,0.22888934,100.1127486,22.18807822,0.782971813,8.376592051,8.08,25.395,45.68403547,14.30199113,0.095855614,17.242,13.693,0.94,0.0,57.85,0.0
Algeria,1991,Arab States,57.14997082,2.43502645,0.249894638,102.5861714,23.46995895,1.580793094,7.994748411,8.45,25.435,49.53198889,15.31299524,0.10262502,18.535,14.058,1.171,0.0,57.076,0.0
Algeria,1992,Arab States,57.26243,2.383516992,0.245959108,104.205908,24.0243431,1.022925876,8.490068444,8.349,25.459,51.67001137,15.72700964,0.103191674,19.454,15.13,1.056,0.0,56.904,0.0
Algeria,1993,Arab States,59.19870218,2.455334616,0.25973031,104.9287453,24.11023809,1.70919479,8.291029047,8.39,25.463,52.38599054,16.59698369,0.105782042,20.653,15.144,1.015,0.0,56.995,0.0
Algeria,1994,Arab States,56.34792747,2.424648572,0.249467931,100.6125961,23.23962661,0.783869292,9.170605459,7.562,23.971,48.20601995,16.11700447,0.102888284,21.177,15.545,0.943,0.0,56.312,0.0
Algeria,1995,Arab States,56.82881237,2.343683972,0.242386276,106.7216699,24.24764305,0.921504966,9.543157538,7.446,24.632,54.85105523,16.78699248,0.103421058,20.944,16.102,0.901,0.0,56.753,0.0
Algeria,1996,Arab States,56.16572068,2.392259616,0.230123017,112.6592982,23.47810426,0.616241384,10.08425812,7.224,24.007,58.18703399,16.72101687,0.096194834,21.907,16.697,0.659,0.0,59.684,0.0
Algeria,1997,Arab States,58.07467449,2.413863218,0.2353555,121.6419902,24.05880916,0.327011118,10.22681679,7.239,26.374,67.07607734,17.8359948,0.097501589,22.935,17.123,0.541,0.0,60.9,0.0
Algeria,1998,Arab States,59.49442937,2.389440602,0.229409364,127.0935171,24.89889446,0.85114806,10.56159825,7.305,26.107,71.71104545,18.35002275,0.096009653,25.26,18.674,0.837,0.0,62.228,0.0
Algeria,1999,Arab States,63.24706466,2.379564925,0.236317295,136.9825527,26.57925573,0.758169935,10.37934444,7.868,28.431,80.54808681,19.53901525,0.099311136,26.775,19.991,0.849,0.0,64.412,0.0
Algeria,2000,Arab States,64.22980202,2.378976609,0.231203478,142.2282557,26.99892121,0.195751468,10.65191865,8.258,29.27,82.13194557,19.59200592,0.097186108,27.586,21.211,0.773,0.0,68.002,0.0
Algeria,2001,Arab States,65.74165664,2.430036158,0.229753004,136.7830084,27.05377713,0.239558379,11.09343573,8.394,30.272,77.26694166,20.14401982,0.094547154,28.803,22.302,0.794,0.0,66.739,0.0
Algeria,2002,Arab States,71.67679253,2.476877001,0.237211205,143.1438609,28.9383738,0.191719081,10.69533146,9.255,29.832,79.51502836,20.88500608,0.09577028,29.731,23.28,1.181,0.0,71.029,0.0
Algeria,2003,Arab States,74.89537767,2.435262757,0.231215458,155.3180083,30.75453663,0.833700371,11.18290633,9.55,30.198,84.00098067,22.96699658,0.094944768,31.786,25.373,1.094,0.0,79.176,0.0
Algeria,2004,Arab States,75.9820417,2.440287183,0.224899506,157.8929887,31.13651632,0.749768498,10.88829661,10.16,27.154,82.80899785,22.55998342,0.092161082,33.477,26.288,1.303,0.0,82.721,0.0
Algeria,2005,Arab States,80.33616462,2.477663753,0.224539461,166.6685599,32.42415946,1.528167851,11.60179375,10.224,26.752,88.90205713,24.14899344,0.090625478,36.318,29.524,1.147,0.0,86.13,0.0
Algeria,2006,Arab States,83.44075924,2.403223366,0.229318386,164.9431294,34.72035118,0.577208219,11.32287011,10.504,26.871,87.44401,25.32701304,0.09542117,37.768,29.467,1.065,0.0,85.776,0.0
Algeria,2007,Arab States,87.44378769,2.373358288,0.232417621,164.2984168,36.84390517,0.565806274,10.81035551,11.656,28.326,86.54098319,26.27902451,0.097927743,39.943,31.286,1.196,0.0,85.896,0.0
Algeria,2008,Arab States,91.99905356,2.467859931,0.238794046,162.0471872,37.27887973,0.664381632,11.02793925,12.969,30.939,86.76091616,26.3339888,0.096761588,42.596,32.901,1.195,0.0,83.545,0.0
Algeria,2009,Arab States,97.15917043,2.383123741,0.248216258,153.055766,40.76967081,0.753063937,9.569990791,14.004,30.873,83.37097594,27.5799815,0.104155841,40.634,30.526,0.646,0.0,77.735,0.0
Algeria,2010,Arab States,97.58852959,2.342638044,0.240649767,154.3735281,41.6575364,0.360703995,11.05998,14.113,33.995,84.61991851,27.37897916,0.102725971,48.239,36.494,0.509,0.0,74.428,0.0
Algeria,2011,Arab States,104.8249292,2.418983518,0.251209393,149.6147708,43.33428831,0.90019008,11.19722475,14.83,32.817,81.82993469,29.63897932,0.103849154,55.766,41.096,0.439,0.0,72.284,0.0
Algeria,2012,Arab States,115.479404,2.436776768,0.267642631,147.306998,47.39022692,1.000804505,11.35732811,16.331,29.966,85.27991771,33.75597748,0.109834694,62.15,46.189,0.434,0.0,67.537,0.0
Algeria,2013,Arab States,118.3646651,2.411062335,0.266857686,141.1090593,49.09232888,0.509550206,11.43883735,17.235,30.865,81.01897627,34.55503377,0.110680542,64.763,48.666,0.302,0.0,65.23,0.0
Algeria,2014,Arab States,127.3686491,2.378245003,0.276645004,146.7221417,53.5557308,0.358802673,11.35882379,17.935,39.421,82.55609756,37.76699397,0.116323173,70.791,52.984,0.226,0.0,69.123,0.0
Algeria,2015,Arab States,135.4609762,2.417492924,0.283723778,146.1713806,56.03365986,0.2944922,11.6413168,18.178,38.345,83.97706565,40.58197461,0.117362816,75.384,57.354,0.214,0.102143691,67.53,0.0
Algeria,2016,Arab States,133.4178101,2.400747836,0.270779414,156.7910292,55.57343762,0.428413843,12.06293404,17.741,38.125,94.72206566,40.72904793,0.112789611,77.962,59.834,0.0,0.148790436,68.869,0.0
Algeria,2017,Arab States,134.7112618,2.355358245,0.269895904,156.2635182,57.19353398,0.760561019,12.7850884,17.359288,37.075058,96.21862171,42.12620275,0.114588048,83.491,64.42,0.329377,0.693487921,67.212,0.0
Algeria,2018,Arab States,143.4272423,2.353343847,0.283391019,155.5284224,60.94614794,0.928109998,11.88889311,17.746277,38.673711,97.15407759,45.67543243,0.120420575,84.365,66.248,0.553958,0.789379482,65.808,0.0
Algeria,2019,Arab States,148.3877607,2.273698032,0.290865347,150.1538755,65.26273877,0.927563296,12.26623986,18.49226639,37.00951389,90.05893027,47.22343283,0.127926111,89.96778416,70.60871655,0.456655996,0.759112115,66.18774232,0.0
Algeria,2020,Arab States,135.0891011,2.282281915,0.280093616,137.5809125,59.19036567,0.974024484,12.5754309,16.0943512,34.48839429,83.96915469,43.91779253,0.122725249,87.6002109,67.47864324,0.426444963,0.801020568,59.74580557,0.0
